和子女王	And son queen 
中国人民志愿军	Chinese People's Volunteer Army 
后现代主义文学	Postmodernist literature 
清江浦	Qingjiangpu 
新疆艺术学院	Xinjiang Art Institute 
格兰维尔·勒文森-古尔，第一代斯塔福侯爵	Granville Levinson-Goul, the first Marquis of Stafford 
加亚新城	Vila Nova de Gaia 
林峰海	Lin Fenghai 
函数编程语言	Functional programming language 
中古蒙古语	Middle Mongolian 
新扎师妹	Sister Xinzha 
正田英三郎	Hidesaburo Shoda 
池上礼一	Reiichi Ikegami 
岘港shb足球俱乐部	Danang shb football club 
姜成浩	Jiang Chenghao 
港口里	In the port 
telšiai	tents 
漫画改编偶像剧	Comic-based idol drama 
迪士尼探险	Disney Adventure 
斯科茨布拉夫_(内布拉斯加州)	Scotts Bluff_ (Nebraska) 
邓鉴泉	Deng Jianquan 
1914年棒球	1914 Baseball 
意识形态	Ideology 
周书楷	Zhou Shukai 
苏格兰19岁以下足球代表队	Scotland U19 National Football Team 
女头家	Female head family 
古雅沙	Quaint Sand 
民主柬埔寨党	Democratic Cambodian Party 
小幡纯平	Junpei Obata 
单曲cd	Single cd 
三苓里	Sanlingli 
复线铁路	Double track railway 
科伦坡市政局	Colombo City Council 
苏丹卡布斯综合运动场	Sultan Qaboos Sports Complex 
年度互动成就奖	Annual Interactive Achievement Award 
保力达	Baolida 
西点_(纽约州)	West Point_(New York State) 
维格纳准概率分布	Wigner quasi-probability distribution 
中华民国标准国语	Standard Mandarin of the Republic of China 
老友记_(第九季)	Friends_ (Season 9) 
比拿夫	Binav 
法政牧师	Hosei priest 
中央省_(巴布亚纽几内亚)	Central Province_ (Papua New Guinea) 
昊宛离	Hao Wanli 
孟利尼克二世	Menline II 
雪兰莪足球协会	Selangor Football Association 
康考迪亚大学	Concordia University 
宇宙微波背景辐射	Cosmic microwave background radiation 
贝都因人	Bedouin 
维农山庄	Mount Vernon 
大帽山道	Tai Mo Shan Road 
小山鹿犁子	Little Deer Plow 
山形车辆中心	Yamagata Vehicle Center 
曲傻姑	Qu Sha Gu 
社会民主进步同盟	Social Democratic Progressive League 
饶舌摇滚	Rap rock 
李景田	Li Jingtian 
汉堡大学	University of Hamburg 
葡萄牙社会民主党	Portuguese Social Democratic Party 
老鹰音乐	Eagle Music 
瓦维尔城堡	Wawel Castle 
利文斯通_(西洛锡安)	Livingstone_ (West Lothian) 
布洛涅的玛丽	Marie of Boulogne 
近卫千代子	Konoe Chiyoko 
菊池慎之助	Shinnosuke Kikuchi 
克劳利镇足球俱乐部	Crawley Town Football Club 
阿部吉朗	Yoshiro Abe 
华兴会	Huaxing Club 
德温公主	Princess Devin 
平常在	Usually at 
哥伦比亚比索	Colombian Peso 
南墨尔本fc	South Melbourne fc 
嘲鸟_(漫威漫画)	Mockingbird_ (Marvel Comics) 
北也门总统	President of North Yemen 
俄罗斯摇滚	Russian rock 
凤森里	Fengsenli 
角岛康介	Kosuke Tsunoshima 
北京国子监	Beijing Guozijian 
宁波银博足球俱乐部	Ningbo Yinbo Football Club 
格雷米奥巴鲁埃里	Gremio Barueri 
sixfields	sixfields 
李东宁	Li Dongning 
宫腰光宽	Palace waist width 
波兰王国和立陶宛社会民主党	Social Democratic Party of the Kingdom of Poland and Lithuania 
国民议会议长_(亚塞拜然)	Speaker of the National Assembly_ (Azerbaijan) 
邹正	Zou Zheng 
俄罗斯帝国陆军	Imperial Russian Army 
全真心法	Wholeheartedness 
巴黎十六区	Paris 16th district 
约翰·西吉斯蒙德_(勃兰登堡)	John Sigismund_ (Brandenburg) 
片冈信和	Shinwa Kataoka 
城市轨道交通	Urban rail transit 
安进范	An Jinfan 
国家体育场	National Sport Stadium 
奥基威尔球场	Oakville Stadium 
全英草地网球和门球俱乐部	All England Lawn Tennis and Croquet Club 
九一一袭击事件	September 11 attacks 
后卫ii战役	Battle of Defender II 
新爱尔兰岛语言	New Irish language 
南非英语	South African English 
挪威足球丙级联赛	Norwegian Football League C 
朱文进	Zhu Wenjin 
波德_(科罗拉多州)	Pod_ (Colorado) 
rykodisc	rykodisc 
aim-132先进短程空对空飞弹	aim-132 advanced short-range air-to-air missile 
公营住宅	Public housing 
黑龙江各地市地区生产总值列表	List of Gross Domestic Product of Heilongjiang Province 
英格兰北部足球联赛超级组	North of England Football League Super Group 
苏格兰皇家银行	Royal Bank of Scotland 
月光音乐	Moonlight music 
v8	v8 
文艺复兴人文主义	Renaissance Humanism 
德国历史	German history 
加拿大工人共产党	Canadian Workers' Communist Party 
中国共产党广州市委员会	Guangzhou Municipal Committee of the Communist Party of China 
北卡罗来纳柏油脚跟	North Carolina Tar Heel 
马里博尔足球俱乐部	Maribor Football Club 
周敦颐	Zhou Dunyi 
诺森比亚伯爵瓦尔塞奥夫	Walseof, Earl of Northumbria 
苏格兰的埃塞雷德	Eserend 
英格兰足球依斯米安联赛甲组南区	English Football Ismian League First Division South 
大卫哥甸	David Gordian 
奥托王朝	Otto Dynasty 
朴高梅瑟足球俱乐部	Park Gomeser Football Club 
周美伍	Zhou Meiwu 
水力发电厂	Hydroelectric power plant 
郑经嗣位之争	Zheng Jing's Controversy 
俞大猷	Yu Dayou 
高丽虹	Gao Lihong 
麦卡伦国际机场	McCarran International Airport 
三泽公园球技场	Misawa Park Stadium 
中国人民解放军海军司令员	Commander of the Navy of the Chinese People's Liberation Army 
成耀东	Cheng Yaodong 
郝兴晨	Hao Xingchen 
布鲁塞尔议会	Brussels Parliament 
亚力山大四世	Alexander IV 
târgovişte	Targoviste 
郑义和	Zheng Yihe 
阿塞拜疆历史	History of Azerbaijan 
大汉山_(马来西亚)	Dahan Mountain_(Malaysia) 
阿尔纳斯尔足球俱乐部	Al Nasr Football Club 
卡塔尔基金会	Qatar Foundation 
市政协主席	Chairman of the CPPCC 
池田元久	Motohisa Ikeda 
.mil	.thousand 
驻伊美军	US Army in Iraq 
威尔士足球协会	Welsh Football Association 
筑波大学	University of Tsukuba 
波兰共产党	Communist Party of Poland 
.tj	.i.e 
枢密院顾问官	Counselor of the Privy Council 
民主行动党社会主义青年团	Democratic Action Party Socialist Youth League 
集体领导	Collective leadership 
印度卢比	Indian Rupee 
三王冠	Three crowns 
埃及军队	Egyptian army 
托雷多大学	University of Toledo 
何君诚	He Juncheng 
雁形目	Anseriformes 
南非君主	South African monarch 
黑森与莱茵王子亚历山大	Hesse and Prince Alexander of the Rhine 
生活大爆炸剧集列表	List of Big Bang Theory Episodes 
库利－图基快速傅里叶变换算法	Cooley-Tukey Fast Fourier Transform Algorithm 
清朝君主列表	List of Qing Dynasty Monarchs 
esp吉他	esp guitar 
佛罗里达大沼泽地	Florida Everglades 
亨丁顿_(英国国会选区)	Huntington_(British Parliamentary District) 
西北部联邦管区	Northwestern Federal District 
中央人民政府公安部	Ministry of Public Security of the Central People's Government 
尼基航空	Nicky Air 
前田利家	Maeda Toshiie 
刘鸿鸣	Liu Hongming 
埃斯特拉尔足球俱乐部	Estrel Football Club 
前1420年代	Before the 1420s 
戴维奖章	David Medal 
地中海大学联盟	Union of Mediterranean Universities 
巴拉圭足球乙级联赛	Paraguay Football Second Division 
方展发	Fang Zhanfa 
上莱因集团军	Upper Rhine Army 
w:de:deutsche_fußballnationalmannschaft_(u-17-junioren)	w: de: german national football team _ (u-17-juniors) 
印度尼西亚—马来西亚冲突	Indonesia-Malaysia conflict 
俄勒冈州众议院	Oregon House of Representatives 
阿尔及利亚国庆日	Algeria National Day 
屎烂帮	Shit gang 
赵海燕	Zhao Haiyan 
教宗君士坦丁	Pope Constantine 
saint-denis	St Denis 
固体燃料火箭	Solid fuel rocket 
柳和荣	Liu Herong 
泰坦3号运载火箭	Titan 3 launch vehicle 
欧盟理事会	Council of the European Union 
北布拉班特省女王专员列表	List of Commissioners of the Queen of North Brabant 
1833年对英国拥有福克兰群岛主权的重申	Reaffirmation of British sovereignty over the Falkland Islands in 1833 
尹永宽	Yin Yongkuan 
阿列克谢大公	Grand Duke Alexei 
矶村亮太	Isomura Ryota 
我可能不会爱你	Maybe I will not love you 
坎特伯雷市_(新南威尔士州)	Canterbury City_ (New South Wales) 
伊势国	Ise country 
张国炜	Zhang Guowei 
拉蒙·麦格塞塞奖	Ramon Magsaysay Award 
马兹亚体育及娱乐会	Mazya Sports and Entertainment Club 
宽体飞机	Widebody aircraft 
突击步枪	Assault rifle 
凯瑟琳·朗丝黛耳	Catherine Ronsdale 
中华人民共和国国务院令	Order of the State Council of the People's Republic of China 
沃森_(犹他州)	Watson_ (Utah) 
天历_(村上天皇)	Calendar_(Murakami Emperor) 
来栖敦子	Atsuko Kurusu 
艾伯塔省人口普查区列表	List of Alberta Census Districts 
奥古斯塔皇后湾战役	Battle of Queen Augusta Bay 
元认识论	Meta epistemology 
艾格维沃_(加尔省)	Aegevivo_ (Gar) 
比萨码头	Pisa Pier 
天主教南京教省	Catholic Nanjing Province 
吉野智行	Tomoyuki Yoshino 
湖南经视	Hunan Economics 
德文郡公爵	Duke of Devonshire 
国土交通省航空局	Ministry of Land, Infrastructure, Transport and Tourism 
gizmondo	gizmondo 
梅兰妮·克莱因	Melanie Klein 
涪陵体育中心	Fuling Sports Center 
九元航空	Nine Yuan Airlines 
文学评论	Literary review 
过渡联邦政府	Transitional Federal Government 
斯摩棱斯克战役_(1943年)	Battle of Smolensk_ (1943) 
马尔他十字	Maltese Cross 
绚子女王	Queen Ayako 
阿拉斯加州州长	Governor of Alaska 
刺客教条ii	Assassin's Creed II 
哈敏沙慕里	Hamin Samuri 
茨城县旗	Ibaraki Prefecture Flag 
刁蛮公主	Princess 
饭田里树	Iida Riki 
博洛尼亚大学	University of Bologna 
闽康宗	Min Kangzong 
神奇宝贝钻石&珍珠	Pokémon Diamond & Pearl 
狂热中文	Fanatic Chinese 
元朗_(安定王)	Yuen Long_(Anding King) 
门户地区	Gateway area 
file:tang_suzong.jpg/200px/唐肃宗像	file:tang_suzong.jpg/200px/Tang Suzong Statue 
彼达迪华夏普尔	Peter Dehua Hapoel 
纽西兰工党	New Zealand Labor Party 
全国交通枢纽城市	National transportation hub city 
伊拉克共产党	Communist Party of Iraq 
斯特拉·奥巴桑乔	Stella Obasanjo 
原田直子	Naoko Harada 
陆志鹏	Lu Zhipeng 
张瑀	Zhang Yu 
凡尔登战役	Battle of Verdun 
file:清_郎世宁绘《清高宗乾隆帝朝服像》.jpg	file:Qing Dynasty_Lang Shining painted "Portrait of Emperor Emperor Qianlong of the Qing Dynasty".jpg 
巴尔的摩/华盛顿瑟古德·马歇尔国际机场	Baltimore/Washington Thurgood Marshall International Airport 
泛亚加亚足球俱乐部	Pan Asian Gaya Football Club 
王宠惠	Wang Chonghui 
詹姆斯·奥斯瓦尔德_(格拉斯哥)	James Oswald_ (Glasgow) 
哥本哈根战役_(1801年)	Battle of Copenhagen_ (1801) 
李承民	Li Chengmin 
英伦流行	British Pop 
卡尔斯鲁厄理工学院	Karlsruhe Institute of Technology 
冈田准一	Okada Junichi 
孙太英	Sun Taiying 
windows市集	windows market 
电视联播网	TV Network 
迷你忍者	Mini Ninja 
人机交互	Human-computer interaction 
马来人_(ethnic_group)	Malay_(ethnic_group) 
列治·布洛斯咸	Rich Brosham 
罗伯特娱乐	Robert Entertainment 
阿尔卑斯造山运动	Alpine Orogeny 
欧世勋	Ou Shixun 
美索不达米亚	Mesopotamia 
马恩岛总督	Governor of the Isle of Man 
妻子的诱惑	Seduction of wife 
立宪同志会	Constitutional gay association 
多景岛	Duojing Island 
电子键盘	Electronic keyboard 
人民协商会议	People's Consultative Conference 
重庆劲浪	Chongqing Jinlang 
磐瀬刚	Iwase Go 
基督教音乐	Christian music 
崔腾骐	Cui Tengqi 
迷幻音乐	Psychedelic music 
尼禄_(日耳曼尼库斯之子)	Nero_ (son of Germanicus) 
航空自卫队	Air Self-Defense Force 
中国共产党第十七届中央委员会第一次全体会议	The First Plenary Session of the 17th Central Committee of the Communist Party of China 
塞尔赫斯特公园球场	Selhurst Park 
福森晃斗	Fussen Akira 
诺埃·奎因	Noe Quinn 
菊花纹章	Chrysanthemum Heraldry 
最强者足球俱乐部	The strongest football club 
和平里_(冈山区)	Hepingli_(Gangshan District) 
易剑鹏	Yi Jianpeng 
世界大学联合协会	World Association of Universities 
近江铁道	Omi Railway 
自由意志市镇主义	Free will townism 
卡纳塔克高等法院	Karnataka High Court 
中央军事委员会战略规划办公室	Central Military Commission Strategic Planning Office 
北投机厂	Beitou Machinery Plant 
马萨诸塞大学阿默斯特分校	University of Massachusetts Amherst 
美国国家科学院院刊	Proceedings of the National Academy of Sciences 
uh-1y毒液直升机	uh-1y Venom helicopter 
村田敬次郎	Murata Keijiro 
美国副检察长	U.S. Attorney General 
彼得保罗大教堂	Peter and Paul Cathedral 
督政府	Supervise government 
麦西亚王国	Kingdom of Mercia 
牛栏江	Niulanjiang 
小学馆漫画赏	Shogakukan Comic Award 
新闻联播	News Feeds 
潘志文	Pan Zhiwen 
卡通网络工作室	Cartoon Network Studio 
巴鲁埃里	Barueri 
夜宵磨	Supper Mill 
山屋他人	Mountain house others 
日本成人游戏	Japanese adult games 
马克斯普朗克学会	Max Planck Society 
芬兰足球甲级联赛	Finnish Football League 
波兰政府	Polish government 
北萨尼特_(英国国会选区)	North Thanet_ (British Parliamentary Constituency) 
a2a	Aa 
村越伊知郎	Ichiro Murakoshi 
逆光飞翔	Flying against the light 
津轻海峡	Tsugaru Strait 
路易，法国王太子，勃艮第公爵	Louis, Prince of France, Duke of Burgundy 
运动用品	Sporting goods 
杨隆演	Yang Longyan 
圆周理论物理研究所	Institute of Theoretical Physics of the Circle 
宾坚尼地	Bin Kennedy 
1981年英国国籍法令	British Nationality Act 1981 
娱乐百分百	100% entertainment 
阇耶跋摩七世	Jayavarman VII 
氛围流行乐	Atmosphere pop 
徐遇安	Xu Yuan 
纯献皇贵妃	Pure Concubine 
菊地直哉	Naoya Kikuchi 
马里奥兄弟	Mario Brothers 
胜者为王_(2010年电视剧)	The winner is king_ (2010 TV series) 
波兰民主党	Polish Democratic Party 
菲尔绍三要素	Three Elements of Filsau 
mycctv	mycctv 
征服军	Conqueror 
平嶋夏海	Natsumi Hirajima 
永田亮太	Ryota Nagata 
赖韦汝	Lai Weiru 
国王日	King's Day 
拿赫奥	Najo 
燕尾蝶_下定爱的决心	Swallowtail Butterfly_The determination to make love 
卢旺达议会	Rwandan Parliament 
利比亚大学	University of Libya 
比治文	Bizhiwen 
盖尔曼-西岛关系	Gellman-West Island Relationship 
drongen	insisted 
巴特勒克足球俱乐部	Butler Football Club 
自由党_(日本1950年)	Liberal Party_ (Japan 1950) 
电磁波导	Electromagnetic waveguide 
萨克森-科堡-布拉干萨王朝	Saxon-Coburg-Braganza Dynasty 
底特律市议会	Detroit City Council 
坂田车站	Bantian Station 
芬兰-伏尔加分支	Finland-Volga Branch 
西部洋平	Yohei Nishibe 
荷属安的列斯总理	Prime Minister of the Netherlands Antilles 
鹿特丹海牙机场	Rotterdam The Hague Airport 
爱杀17	Love Kill 17 
云达不来梅体育会	Werder Sports Club Bremen 
佐治·温莎_(安德鲁斯伯爵)	George Windsor_ (Earl Andrews) 
神农架林区	Shennongjia Forest Area 
市丸瑞希	Mizuki Ichimaru 
中华民国劳动部	Ministry of Labor of the Republic of China 
皮埃蒙特斯库多	Piedmont Scudo 
透过窥镜	Through the sight glass 
赠海大学	Zenghai University 
克赖斯特彻奇北_(新西兰选区)	Christchurch North_(New Zealand constituency) 
泡沫之夏	Summer's Desire 
güray_vural	gray_vural 
圣路易红雀	Saint Louis Cardinals 
新娘暖帘	Bridal curtain 
fantasy!_拾壹	fantasy!_ Pick One 
朱庆虹	Zhu Qinghong 
美国陆军中央集团军	U.S. Army Central Army 
浩室音乐类型	House music type 
want!	want! 
三刺鱼	Three spiny fish 
里奇-克莱琴望远镜	Rich-Klechen Telescope 
上海大学市北附属中学	Shibei High School Affiliated to Shanghai University 
新加坡联赛杯	Singapore League Cup 
西肯塔基大学	Western Kentucky University 
美国驻苏联大使	U.S. Ambassador to the Soviet Union 
张祥安	Zhang Xiangan 
天津开发区导轨电车1号线	Tianjin Development Zone Rail Tram Line 1 
印第安纳州众议院	Indiana House of Representatives 
维格纳的友人	Wigner's friend 
大伴皇女	Princess Otomo 
阿布哈兹总理	Prime Minister of Abkhazia 
mca唱片	mca record 
克拉斯诺亚尔斯克叶尼塞足球俱乐部	Krasnoyarsk Yenisei Football Club 
萧劲光	Xiao Jinguang 
安提柯三世	Antico III 
莱比锡战役	Battle of Leipzig 
安田猛_(角川集团)	Takeshi Yasuda_(Jiaochuan Group) 
费利佩一世_(卡斯蒂利亚)	Felipe I_ (Castile) 
舞力全开_(原声带)	Just Dance_ (Original Soundtrack) 
华盛顿州各县列表	List of counties in Washington state 
哥伦比亚行政区划	Administrative divisions of Colombia 
bachata	bachata 
当狗爱上猫	When a dog falls in love with a cat 
波兰共和国上议院	House of Lords of the Republic of Poland 
山东话	Shandong dialect 
耶诞节会下雪吗	Will it snow on Christmas? 
大闹广昌隆_(电视剧)	Rape in Guangchanglong_ (TV series) 
日本制钢所	Japan Steel Works 
法国的军功十字章	French military service ankh 
西印度群岛大学	University of the West Indies 
英国君主头衔	Title of British monarch 
牛津大学图书馆	Oxford University Library 
地米斯托克利	Mistocle 
端顺妃	Duan Shun Fei 
科森扎足球会	Cosenza Football Club 
金承奎	Jin Chengkui 
乌鲁木齐铁路局	Urumqi Railway Bureau 
珍的沉溺	Jane's addiction 
和硕温恪公主	Princess Hesuo Wenke 
固伦温庄长公主	Princess Gulunwenzhuang 
汤姆森航空	Thomson Airlines 
埃里·拉乔纳里马曼皮亚尼纳	Eri Rajonari Mamanpianina 
洪子贵	Hong Zigui 
浏阳县立初级中学	Liuyang County Junior High School 
洛杉矶纪念体育竞技场	Los Angeles Memorial Sports Arena 
尼古拉·尼古拉耶维奇·穆拉维约夫-阿穆尔斯基	Nikolai Nikolaevich Muraviyov-Amursky 
荒井正吾	Shogo Arai 
高村正也	Masaya Takamura 
鹤鸵目	Cassowaries 
约翰·皮特，第二代查塔姆伯爵	John Pitt, the second Earl of Chatham 
沈阳故宫	Shenyang Imperial Palace 
遂川江	Suichuan River 
克拉伦斯公爵夫人伊莎贝尔·内维尔	Isabel Neville, Duchess of Clarence 
中央造币厂	Central Mint 
荷兰20岁以下国家足球队	Netherlands Under-20 National Football Team 
新青森站	Shin Aomori Station 
姜依文	Jiang Yiwen 
海心沙_(天河区)	Haixinsha_(Tianhe District) 
中山成彬	Zhongshan Chengbin 
布林莫尔_(宾夕法尼亚州)	Brynmore_ (Pennsylvania) 
黄兴南路步行商业街	Huangxing South Road Pedestrian Commercial Street 
张枏	Zhang Lan 
爱洛伊斯_(奥兰治-拿骚及阿姆斯博格伯爵)	Eloise_ (Earl of Orange-Nassau and Armsberg) 
一次性使用运载系统	Single use delivery system 
2015年与阔思音乐亚洲区经纪合作	In 2015, cooperated with Cors Music Asia agent 
人民保卫力量	People's Defense Force 
王睿_(中国足球运动员)	Wang Rui_ (Chinese football player) 
弗朗西斯王子(特克)	Prince Francis (Turk) 
托马斯·佩勒姆-柯林顿，第三代雷姆河畔纽卡斯尔公爵	Thomas Pelham-Clinton, third Duke of Newcastle upon Reme 
第9届中华民国立法委员名单	List of Legislators of the 9th Republic of China 
伦敦水上运动中心	London Aquatic Centre 
秦天南	Qin Tiannan 
地名资讯系统编号	Geographical Name Information System Number 
钢琴布鲁斯	Piano Blues 
守邦亲王	Prince Shoubang 
上田龙也	Tatsuya Ueda 
俾路支	Baloch 
清华大学早期建筑	Early Architecture of Tsinghua University 
新宿线_(西武铁道)	Shinjuku Line_(Seibu Railway) 
murtaugh_(how_i_met_your_mother)	murtaugh_(how_i_met_your_mother) 
红土带	Laterite 
.pa	.pa 
非小说	Non-fiction 
台北市私立卫理女子高级中学	Taipei Private Methodist Girls' High School 
东宁之变	Dongning Change 
德国手语	German Sign Language 
卡特加特海峡	Kattegat Strait 
拿那拔地薛胡	Nanabadi Xuehu 
四川足球俱乐部	Sichuan Football Club 
沥涔吹蔑之战	The battle of lichen 
车臣徽章	Chechen badge 
左派民粹主义	Leftist populism 
加拿大大西洋省份	Atlantic Provinces of Canada 
马尔他总统	President of Malta 
查尔斯·蒙克，第四代蒙克子爵	Charles Munch, 4th Viscount Munch 
清新恒大训练基地	Fresh Evergrande Training Base 
陆上自卫队	Ground Self-Defense Force 
宋庆龄故居	Soong Ching Ling's Former Residence 
阳光天使	Sunshine angel 
.nu	.angry 
钥匙竞技场	Key Arena 
贞宫多喜子内亲王	Sadamiya Takiko's Prince 
恐怖统治	Reign of terror 
圣保罗座堂	St. Paul's Cathedral 
拉金德拉·普拉萨德	Rajendra Prasad 
弘吉剌	Hong Ji La 
草蜢工作室	Grasshopper Studio 
全国维持和平秩序委员会	National committee for peacekeeping and order 
首尔公演艺术高中	Seoul Performance Art High School 
给10年后的你	For you in 10 years 
华视新闻资讯台	China TV News Information Channel 
伊留申-38	Ilyushin-38 
花田少年史	Hanada Boy History 
姜中笑	Jiang Zhongxiao 
野本安启	Yasuhiro Nomoto 
二条斉敬	Nijo Ikei 
米内罗美洲队	Mineiro Americas 
贝勒大学	Baylor University 
塞舌尔群岛总督	Governor of Seychelles 
油尖旺区议会	Yau Tsim Mong District Council 
公开密钥加密	Public key encryption 
植物地理学	Plant geography 
英国大学	British University 
jean-pierre_escalettes	jean-pierre_escalettes 
魁北克自由党	Quebec Liberal Party 
爱丽丝公主_(黑森和莱茵大公夫人)	Princess Alice_ (Hesse and the Grand Duchess of Rhein) 
秘鲁民族主义党	Peruvian nationalist party 
68k	68k 
沃什伯恩大学	Washburn University 
汉特-曼西自治区区旗	Khanty-Mansi Autonomous Region Flag 
塞浦路斯超级杯	Cyprus Super Cup 
解放巴黎	Liberate paris 
财政部主计长	Comptroller of the Ministry of Finance 
雅典的卡瑞斯	Karis of Athens 
池田庆德	Ikeda Keitoku 
阿卡汗建筑奖	Aga Khan Award for Architecture 
安大略省省长	Governor of Ontario 
少年福利	Juvenile welfare 
清水溪_(浊水溪)	Qingshui Creek_(Zhuoshui Creek) 
中牧大辅	Daisuke Zhongmu 
大理白族自治州	Dali Bai Autonomous Prefecture 
卢旺达总理	Prime Minister of Rwanda 
近江铁道本线	Omi Railway Main Line 
刘杉杉	Liu Shanshan 
