节奏蓝调	Rhythm and blues 
廖长城	Liao Changcheng 
五所川原市	Goshogawara City 
百越	Baiyue 
苏联民政厅	Soviet Civil Affairs Office 
约翰·贝尔_(1797年出生)	John Bell_ (born in 1797) 
东方茱丽叶	Oriental Juliet 
杜克大学法学院	Duke University School of Law 
爱沙尼亚改革党	Estonian Reform Party 
何泽中	He Zezhong 
文化观光部2000年式	Ministry of Culture and Tourism 2000 
韩民族	Korean Nationality 
列宁勋章	Lenin Medal 
京极高次	Kyoto High School 
圣安阿德雷	San anne adre 
私立东海大学附属实验高级中学	Private Experimental High School Affiliated to Tunghai University 
中国社会科学院	Chinese Academy of Social Sciences 
.vg	.vg 
永平寺町	Eiheiji Town 
woooo!_(how_i_met_your_mother_episode)	woooo!_(how_i_met_your_mother_episode) 
织田鹤	Oda Tsuru 
美国联盟东区	American League East 
ambeon	ambeon 
所罗门群岛总督	Governor of Solomon Islands 
帝国航空舰队	Empire Air Fleet 
宋端宗	Song Duanzong 
整体人文主义	Holistic humanism 
上海航空	Shanghai Airlines 
伊斯兰世界大学联合会	Islamic World University Federation 
丹麦国王	King of Denmark 
松枝贺子	Noriko Matsueda 
合成流行	Synthetic pop 
法国七月革命	French July Revolution 
曾华倩	Zeng Huaqian 
基督教历史党	Christian History Party 
伊斯兰哲学	Islamic philosophy 
俄罗斯联邦管区	District of the Russian Federation 
多点触控	multi touch 
沃尔特-刚果语支	Walter-Congo branch 
九龙仔公园	Kowloon Tsai Park 
东燕里	Dongyanli 
龙骑士07	Dragon Knight 07 
波斯-阿拉伯字母系统	Persian-Arabic Alphabet System 
神话艺术	Mythological art 
大河内一楼	Grand Hanoi first floor 
陈维冠	Chen Weiguan 
叙利亚国王	King of Syria 
yes!_光之美少女5	yes!_Beautiful Girl of Light 5 
西藏自治区投资有限公司	Tibet Autonomous Region Investment Co., Ltd. 
category:明朝皇后	category:Ming Dynasty Queen 
越南社会主义共和国主席	Chairman of the Socialist Republic of Vietnam 
国防工业	Defense industry 
mp3	mp3 
掷弹骑兵团	Grenadier Regiment 
阿克萨群众起义	Aqsa mass uprising 
川井宪次	Kawai Kenji 
梁文音	Liang Wenyin 
纽波特市长	Mayor of Newport 
剑桥大学达尔文学院	Darwin College, Cambridge University 
学是学非	Learn right and wrong 
门户网站	Web portals 
合作游戏模式	Cooperative game mode 
第九届全国人民代表大会	The Ninth National People's Congress 
藏语方言	Tibetan dialect 
自传作家	Autobiography writer 
次女高音	Soprano 
大久保利通	Toshimichi Okubo 
美国中南部	South Central United States 
南苏门答腊省	South Sumatra 
埃塞俄比亚总理	Prime Minister of Ethiopia 
日本未来党	Tomorrow Party of Japan 
上海城市精神	Shanghai city spirit 
内吉梅丁·萨达克	Nejimedin Sadak 
石崎信弘	Nobuhiro Ishizaki 
mi-17直升机	mi-17 helicopter 
卢布林医科大学	Lublin Medical University 
广濑仁美	Hirose Hitomi 
卡尔-奥古斯特_(萨克森-魏玛-艾森纳赫)	Karl August (Saxony-Weimar-Eisenach) 
列奥十一世	Leo XI 
词曲作者	Songwriter 
wii遥控器	wii remote 
左翼社会主义者	Left-wing socialist 
北部非洲	North Africa 
杰斐逊城_(密苏里州)	Jefferson City_(Missouri) 
意大利共和党	Italian Republican Party 
promise/star	promise/star 
终身参议员	Senator for life 
关口和之	Sekiguchi and 
台北101/世贸站	Taipei 101/World Trade Center 
普利茅斯-萨顿_(英国议会选区)	Plymouth-Sutton_(British Parliamentary District) 
浦项钢园球场	Pohang Steel Park Stadium 
格拉斯哥安妮斯兰德_(苏格兰议会选区)	Glasgow Annesland_ (Scottish Parliament constituency) 
朱鸟_(天武天皇年号)	Shucho_ (Emperor Tenmu Year) 
多拿度	Donald 
山阴地方	San'in place 
迪奥高·费拉拿	Diogo Ferrana 
木卫一	Io 
太原武宿国际机场	Taiyuan Wusu International Airport 
模拟城市_(1989年游戏)	Sim City_ (1989 game) 
新式迷幻音乐	New psychedelic music 
土耳其议会	Turkish Parliament 
英国国籍法	British Nationality Law 
姚江山	Yao Jiangshan 
蒙古大汗	Mongolian Khan 
金基种	Gold base species 
打破的锁链	Broken chain 
戴安娜_(威尔士王妃)	Diana_ (Princess of Wales) 
阿尔贝一世_(比利时)	Albert I_(Belgium) 
航电设备	Avionics 
道琼斯工业平均指数	Dow Jones Industrial Average 
我要做老板	I want to be the boss 
民俗音乐	Folk music 
美中日光节约时间	US-China Daylight Saving Time 
花花公子拉瑞	Playboy Larry 
ncaa第一级	ncaa first level 
中华一番！	Chinese! 
湄公河三角洲	Mekong Delta 
卡拿丹尼斯	Canadnis 
达拉斯-沃思堡国际机场	Dallas-Fort Worth International Airport 
黑山独立日	Montenegro Independence Day 
香港警察车辆	Hong Kong Police Vehicle 
固伦和静公主	Gulun and Princess Jing 
毕打自己人	Beating yourself 
士砵亭水晶	Shiroting Crystal 
图拉爱.奥马.亚拉杜瓦	Tulaai Omar Yar'Adua 
米纳尔迪美国车队	Minardi American Team 
温井骏斗	Jundou Onjing 
大羊驼	Llama 
艺能动音	Artistic dynamic sound 
四川冠城足球俱乐部	Sichuan Guancheng Football Club 
孙新阳	Sun Xinyang 
全真道	Quanzhen Tao 
黎鸿英	Li Hongying 
永田拓也	Takuya Nagata 
诺曼底的西比拉	Sibila of Normandy 
以西结·桑普森	Ezekiel Sampson 
中山闽语	Zhongshan Min 
税金党	Tax party 
达勒姆县_(北卡罗来纳州)	Durham County_ (North Carolina) 
马伦哥战役	Battle of Marengo 
山东滕鼎足球俱乐部	Shandong Tengding Football Club 
数位图书馆	Digital library 
金鱼注意报	Goldfish note 
爱尔兰共和兄弟会	Irish Republican Brotherhood 
奥尔登堡王朝	Oldenburg Dynasty 
小伊斯雷尔·沃什伯恩	Israel Washburn Jr. 
一条秀子	Ichiko Hideko 
英厄姆县	Ingham County 
伍家岗长江大桥	Wujiagang Yangtze River Bridge 
陈豪_(政治人物)	Chen Hao_(Politician) 
开姆尼茨足球俱乐部	Chemnitz Football Club 
月轮陵	Lunar Tomb 
存在的三种层次	Three levels of existence 
拉拉·萨尔玛王妃	Princess Lara Salma 
韩国17岁以下国家足球队	South Korea Under-17 National Football Team 
印第安纳波利斯国际机场	Indianapolis International Airport 
肌肉松弛乐团	Muscle Relaxation Orchestra 
柬埔寨王后	Queen of Cambodia 
山下真	Yamashita 
爱尔兰下议院	Irish House of Commons 
原来是美男_(台湾电视剧)	It turned out to be a beautiful man_ (Taiwan TV series) 
德国20岁以下国家足球队	Germany under-20 national football team 
卜公体育会	Bu Gong Sports Club 
澳大利亚财政部长	Australian Minister of Finance 
环境保护主义	Environmentalism 
北浦正尚	Masanao Kitaura 
福灵安	Fulinan 
新店线	Xindian Line 
笹原修平	Shuhei Sasahara 
你照亮我星球	You light up my planet 
零插拔力插座	Zero insertion force socket 
德班国际机场	Durban International Airport 
普罗维登斯_(罗德岛州)	Providence_(Rhode Island) 
圣马田大学体育会	St Martin University Sports Club 
南昌西站	Nanchang West Railway Station 
迪普戴尔球场	Deepdale Stadium 
贸易及工业大臣	Minister of trade and industry 
澳大利亚农业、渔业和林业部	Australian Department of Agriculture, Fisheries and Forestry 
李斌_(女性官员)	Li Bin_(Female Official) 
新西兰自由党	New Zealand Liberal Party 
幸运☆星角色列表	Lucky☆Star Character List 
运动失调症	Movement disorders 
大乘佛教	Mahayana Buddhism 
中立一元论	Neutral monism 
女性天皇	Empress of Japan 
拜仁慕尼黑青年队	Bayern Munich Youth Team 
若弗鲁瓦五世_(安茹)	Geoffroy V_ (Anjou) 
恒河三角洲	Ganges Delta 
特斯拉涡轮发动机	Tesla turbo engine 
匆促乐团	Rush Orchestra 
.by	.by 
兔冢英志	Hideshi Totsuka 
先锋体育团	Pioneer Sports Team 
库兹威尔音乐系统	Kurzweil Music System 
中央宣传思想工作领导小组	Central Propaganda and Ideological Work Leading Group 
亚洲足球联合总会	Asian Football Federation 
大卫摩哈	David Moha 
酩悦·轩尼诗－路易·威登集团	Moet Hennessy-Louis Vuitton Group 
吉塞拉_(虔诚者路易之女)	Gisela_(Daughter of Louis the Pious) 
巴西参议院	Brazilian Senate 
西班牙参议院议长	Speaker of the Spanish Senate 
京都御所	Kyoto Imperial Palace 
穆罕默德·哈蒂卜·巴斯里	Mohamed Khatib Basri 
新泽西篮网	New Jersey Nets 
不丹体育场	Bhutan Stadium 
讼务律师	Solicitor 
多佛_(特拉华州)	Dover_ (Delaware) 
青木孝太	Kota Aoki 
鞑靼摇滚	Tatar Rock 
付费电视	Pay TV 
黄炎堃	Huang Yankun 
亦孙真哈敦	Yisun Zhenhadun 
八一大楼	Bayi Building 
海老川兼武	Kanetake Ebikawa 
诺斯科特男爵	Baron Northcote 
互补原理	Complementary principle 
斯特拉斯堡城区	Strasbourg City 
伊朗民主党	Iranian Democratic Party 
秘鲁天主教神学大学	Catholic Theological University of Peru 
哥伦布市议会	Columbus City Council 
web开放字型格式	web open font format 
英国大奖赛	British Grand Prix 
帕斯托竞技	Pasto Athletic 
乐视体育生态中心	LeTV Sports Ecological Center 
欧洲自由民主联盟	European Liberal Democratic Union 
江西省奥林匹克体育中心	Jiangxi Olympic Sports Center 
梅小惠	Mei Xiaohui 
堪察加半岛	Kamchatka 
泰国农民银行足球俱乐部	Thai Farmers Bank Football Club 
菲律宾标准时间	Philippine Standard Time 
菲利普·威廉_(奥兰治)	Philip William_ (Orange) 
城关镇	Chengguan Town 
简约音乐	Simple music 
格伦威尔男爵	Baron Glenwell 
莱昂王国	Kingdom of Leon 
傅明先	Fu Mingxian 
矶城皇子	Prince Kajo 
中华民国宪法	Constitution of the Republic of China 
澳门资讯频道	Macau Information Channel 
法国国防部	French Ministry of Defense 
常春藤盟校	Ivy League School 
联合舰队司令长官	Commander of the combined fleet 
西北希腊语	Northwestern Greek 
朱兆祥_(音韵学家)	Zhu Zhaoxiang_ (phonologist) 
中国中央电视台俄语国际频道	China Central Television Russian International Channel 
咸台永	Hamtayong 
拥抱太阳的月亮	The moon embracing the sun 
老阿格里皮娜	Agripina 
兰卡斯特公爵领地总裁	President of the Duke of Lancaster 
陈有兰溪	Chen Youlanxi 
商业创新及技能大臣	Minister of Business Innovation and Skills 
我是歌手_(第三季)	I am a singer_ (season 3) 
日本内阁	Cabinet of japan 
区彦媛	Ou Yanyuan 
那顺孟和	Na Shun Meng He 
桑德捷斯基足球俱乐部	Sandjeski Football Club 
阿拉伯联合酋长国足球协会	United Arab Emirates Football Association 
杭州动车运用所	Hangzhou EMU 
王伟忠	Wang Weizhong 
第二代约克公爵诺里奇的爱德华	Edward of Norwich, 2nd Duke of York 
查普曼大学	Chapman University 
波斯尼亚和黑塞哥维那联邦	Federation of Bosnia and Herzegovina 
一个机构两块牌子	Two brands per institution 
爱因斯坦场方程	Einstein Field Equation 
越柬战争	Vietnam-Cambodia war 
陈文茶	Chen Wencha 
内政大臣	Home Secretary 
wb电视台	wb television 
郑日冠	Zheng Riguan 
卫生大臣	Minister of Health 
电信设备	Telecommunications equipment 
大城情事	Great City Affair 
mohrungen	mohrungen 
郭金福	Guo Jinfu 
胡海泉	Hu Haiquan 
阿尔芒-埃曼纽尔·迪普莱西_(黎塞留公爵)	Armand-Emanuel Duplesi_ (Duke of Richelieu) 
glaswegian	glaswegian 
英国邮政总局局长	Director General of the United Kingdom Post Office 
交响情人梦_(日本电视剧)	Nodame Cantabile_ (Japanese TV Drama) 
加拿大下议院	Canadian House of Commons 
崔尹正	Cui Yinzheng 
尤里卡_(加利福尼亚州)	Eureka (California) 
巴基斯坦穆斯林联盟	Pakistan Muslim League 
华顶宫博厚亲王	Prince Bohou of Huading Palace 
新青少棒扬威记	The New Youth League 
布鲁塞尔南站	Brussels South Railway Station 
伊朗国家利益委员会	Iran National Interest Committee 
湖北华奥	Hubei Huaao 
北京师范大学	Beijing Normal University 
莱特豪斯波因特_(佛罗里达州)	Lighthouse Point_ (Florida) 
印度陆军	Indian Army 
波兰工人党	Polish Workers' Party 
file:明世宗像.jpg	file: Portrait of Ming Shizong.jpg 
中国足球甲级a组联赛	Chinese Football League A 
陈昭娘	Chen Zhaoniang 
新傣文	New Dai 
御用大律师	Queen's Counsel 
泉信也	Shinya Izumi 
巴黎圣日耳曼足球俱乐部_(女子足球队)	Paris Saint-Germain Football Club_ (Women's Football Team) 
行政公职局	Administration and Public Service Bureau 
美国陆军医疗队	U.S. Army Medical Corps 
池珍熙	Chi Jinxi 
卡文_(爱尔兰下议院选取)	Calvin_ (Selected by the Irish House of Commons) 
瓦尔达足球俱乐部	Varda Football Club 
法兰克福条约	Frankfurt Treaty 
慕尼黑植物协会	Munich Botanical Association 
卡森城_(内华达州)	Carson City_(Nevada) 
u.s._poggibonsi	u.s._poggibonsi 
吴蔚荣	Wu Weirong 
灰背隼直升机	Greyback Falcon helicopter 
非洲联盟委员会	African Union Commission 
法国总统列表	List of French Presidents 
妹尾隆佑	Ryusuke Senoo 
老友狗狗_(电视剧)	Friends Dog_ (TV series) 
dw运动场	dw sports field 
1995年亚洲女子足球锦标赛	1995 Asian Women's Football Championship 
伊丽莎伯二世	Elizabeth II 
microblaze	microblaze 
德国君主列表	List of German monarchs 
激进公民联盟	Radical Citizens League 
南燕里	Nanyanli 
泰罗芬斯体育会	Tyrolean Sports Club 
俄罗斯军事史	Russian military history 
宁国公主	Princess Ningguo 
美国物理学会	American Physical Society 
印度事务大臣	Minister of indian affairs 
塞萨洛尼基亚里士多德大学	Aristotle University of Thessaloniki 
神秘家族	Mystery family 
沃尔夫数学奖	Wolf Prize in Mathematics 
唱片制作人	Record producer 
徐洛锵	Xu Luoqiang 
新巡者	New Ranger 
世界贸易中心	The World Trade Center 
.cv	.cv 
文礼治	Bun Lizhi 
老爸老妈的浪漫史集数列表	A list of the romance episodes of Mom and Dad 
泰国银行	Bank of Thailand 
古尔迪奥拿	Guldiona 
新竹县立湖口高级中学	Hsinchu County Hukou Senior High School 
台湾观光学院	Taiwan Hospitality and Tourism University 
铨美国际	Quanmei International 
美琳达·盖茨	Melinda Gates 
新界乡议局	Heung Yee Kuk, New Territories 
国立武昌高师	National Wuchang Normal University 
阿拉伯复兴社会党－叙利亚地区	Arab Baath Socialist Party-Syrian Region 
捷克君主列表	List of Czech monarchs 
时装设计	fashion design 
杨咏莹	Yang Yongying 
藤原威子	Fujiwara Miko 
基督科学教会	Christian Science Church 
台湾闽南语罗马字拼音方案	The Pinyin Scheme of Romaji in Taiwanese Hokkien 
斯塔福德·诺思科特，第一代伊兹利伯爵	Stafford Northcote, the first Earl of Izli 
莱蒂西娅·玛丽亚公主	Princess Leticia Maria 
阿波罗16号	Apollo 16 
米哈伊一世_(罗马尼亚)	Mihai I_ (Romania) 
伊洛瓦底江	Irrawaddy 
机械工程师	Mechanical Engineers 
steelman	steelman 
统计力学	Statistical mechanics 
柏林自由大学	Free University of Berlin 
知觉之门	Door of Perception 
沙龙·庄士敦	Sharon Johnston 
bbc广播电台	bbc radio 
冲野将基	Okino Mamoki 
暨南大学	Jinan University 
教育总监	Education Director 
教宗和诺理一世	Pope and Nori I 
f-20虎鲨战斗机	f-20 Tiger Shark fighter 
纽约州城市列表	New York State City List 
塞利姆二世	Selim II 
罗克汉普顿_(澳大利亚国会选区)	Rockhampton_(Australian Parliamentary District) 
西班牙历史	Spanish history 
强纳斯唱片	Jonas Records 
阿方索三世_(莱昂)	Alfonso III_ (Leon) 
人类行为学	Human behavior 
通用电气ge90发动机	General Electric ge90 engine 
昆明航空	Kunming Airlines 
清太宗元妃	Concubine Yuan Seita 
两妻时代	The age of two wives 
捷克行政区划	Czech administrative divisions 
移动浏览器	Mobile browser 
瞿友宁	Qu Youning 
伊朗教育部	Ministry of Education of Iran 
神探夏洛克集数列表	Detective Sherlock episode list 
图形文件格式比较	Graphic file format comparison 
贝尔实验室	Bell Labs 
汉诺威国王	King of Hanover 
八核心	Eight core 
侧福晋	Side Fujin 
三立财经台	Sanli Financial Channel 
甲州胜沼之战	Battle of Koshu Katsunuma 
交谈循序程式	Conversation sequence program 
mips架构	mips architecture 
庆应义塾大学	Keio University 
中国共产党重庆市委员会	Chongqing Municipal Committee of the Communist Party of China 
独立运营	Independent operation 
利奥波多王子_(两西西里)	Prince Leopoldo_ (Two Sicily) 
波兰总统列表	List of Presidents of Poland 
新侨中学	Xinqiao Middle School 
国父纪念馆站	Sun Yat-sen Memorial Hall Station 
川崎裕之	Hiroyuki Kawasaki 
玉女素心剑法	Jade Girl Suxin Sword Technique 
科艺百代	Technology EMI 
教我爱的一切	Teach me everything I love 
哇哇映画	Wow movie 
蔚山现代尾浦造船海豚足球俱乐部	Ulsan Hyundai Mipo Shipbuilding Dolphin Football Club 
vezneciler	tellers 
中共最高人民检察院党组	Party Group of the Supreme People's Procuratorate of the Communist Party of China 
乌利泽电钢琴	Ulrich Electric Piano 
特里格拉夫足球俱乐部	Triglav Football Club 
炼钢工人	Steel worker 
跟上旋律	Keep up with the melody 
台北市私立中兴高级中学	Taipei Zhongxing Senior High School 
拉赫蒂足球俱乐部	Lahti Football Club 
梁国权	Liang Guoquan 
圣多默宗徒领衔教堂	Church of St. Thomas the Apostle 
bec特罗萨萨纳足球俱乐部	bec trossana football club 
.pk	.pk 
宇文姓	Yuwen Surname 
中国国民党主席	Chairman of the Chinese Kuomintang 
岩崎良明	Yoshiaki Iwasaki 
贞懿公主	Princess Zhenyi 
亚利桑那大学	University of Arizona 
荷兰军队	Dutch army 
英格兰按人口分类的地区列表	List of areas in England by population 
乡里大辅	Daisuke Township 
霍夫堡皇宫	Hofburg Imperial Palace 
江苏省徐州市第一中学	The First Middle School of Xuzhou City, Jiangsu Province 
南京夫子庙	Nanjing Confucius Temple 
罗撒西公爵	Duke of Rosacy 
七户町	Shichinohe Town 
对马海峡	Tsushima Strait 
永见万	Nagamiman 
核心马来-玻里尼西亚语支	Core Malay-Polynesian branch 
初濑亮	Hatsase Ryo 
气象办公室	Meteorological Office 
社会自由联盟	Social Freedom Alliance 
荷兰君主配偶列表	List of spouses of Dutch monarchs 
马赫反射	Mach reflection 
鲁能泰山足球学校	Luneng Taishan Football School 
帕洛马山天文台	Paloma Mountain Observatory 
不伪装的笑颜yes	Smile without pretending yes 
中央军事委员会国防动员部	National Defense Mobilization Department of the Central Military Commission 
鲍勃·麦克金南	Bob McKinnan 
竹东里	Zhudongli 
奇境传说	Wonderland 
向象贤	Xiang Xiangxian 
北美山区日光节约时间	Daylight Saving Time in North American Mountains 
威桑迪区政府	Wisandy District Government 
普利茅斯高中（印第安纳州）	Plymouth High School (Indiana) 
奥洛穆茨西格玛足球俱乐部	Olomouc Sigma Football Club 
东京放送控股	Tokyo Broadcasting Holdings 
印度的星序勋章	Order of the Stars of India 
fcr2001杜伊斯堡	fcr2001 Duisburg 
阮曾俊	Ruan Zengjun 
查尔顿竞技	Charlton Athletic 
拉特兰条约	Lateran Treaty 
教皇宫殿	Pope palace 
青少年流行音乐	Teen Pop 
西班牙皇家学院	Royal Spanish Academy 
寺川能人	Yoshito Terakawa 
龟井保子	Kamei Yasuko 
东台湾	Eastern Taiwan 
德雷克公式	Drake formula 
武田有祐	Takeda Yusuke 
城岛茂	Shigeru Jojima 
台北松山机场	Taipei Songshan Airport 
申民奎	Shen Minkui 
天体物理学	Astrophysics 
马可尼电子系统	Marconi Electronic System 
彭述之	Peng Shuzhi 
凯洛管理学院	Kellogg School of Management 
渡边博道	Hiromichi Watanabe 
发光二极管	led 
约翰霍普金斯大学保罗尼采高级国际问题研究院	Paul Nietzsche Institute for Advanced International Studies, Johns Hopkins University 
独立城_(密苏里州)	Independence_(Missouri) 
速霸陆汽车	Subaru Motor 
海地共和国银行	Bank of the Republic of Haiti 
幸福选择题	Happiness multiple choice 
幸福捕手	Happiness catcher 
政府税制调查会	Government Tax Investigation Committee 
莫利_(西约克郡)	Molly_ (West Yorkshire) 
澳门总督	Governor of Macau 
瑞士首都球场	Swiss Capital Stadium 
寻秦记_(电视剧)	Searching for the Qin_(TV series) 
铃木英哉	Hideya Suzuki 
王室教皇党勋章	Royal Papal Party Medal 
绿箭侠_(电视剧)	Arrow_(TV series) 
菲律宾众议院	House of Representatives of the Philippines 
樽床伸二	Shinji Tarutoko 
项雪龙	Xiang Xuelong 
大国民阿寇	Ako 
司马永祚	Sima Yongzuo 
袁彩云	Yuan Caiyun 
加拿大20岁以下国家足球队	Canadian Under-20 National Football Team 
杰克逊维尔州立大学	Jacksonville State University 
和山里	Heshanli 
中国优秀旅游城市	China's outstanding tourist city 
诺曼底公爵	Duke of Normandy 
放克摇滚	Funk rock 
巴贝什-鲍里亚大学	Babes-Boria University 
联合国大会67/19号决议	United Nations General Assembly Resolution 67/19 
泛亚美尼亚民族运动	Pan-armenian national movement 
阿联酋总统列表	List of Presidents of the UAE 
鲍常勇	Bao Changyong 
李雨阳	Li Yuyang 
国立首尔显忠院	National Seoul Hyeonchungwon 
意大利参议院	Italian Senate 
壮傣语支	Zhuang and Dai 
德意志帝国议会	Reichstag 
黄杰_(足球运动员)	Huang Jie_ (Football Player) 
中国特色社会主义	Socialism with Chinese Characteristics 
宏池政策研究会	Hongchi Policy Research Association 
necta	necta 
欧洲社会党	European Socialist Party 
塞内加尔国家足球队	Senegal National Football Team 
邻座的怪同学	the werid guy sit next to me 
联合基督教会	United Christian Church 
摩纳哥国家足球队	Monaco National Football Team 
布兰太尔_(马拉维)	Blantyre_(Malawi) 
心花朵朵开	Heart flowers blooming 
拉法耶特侯爵	Marquis de Lafayette 
贝德福德_(英国国会选区)	Bedford_(British Parliamentary District) 
迷幻流行	Psychedelic pop 
水原三星蓝羽	Suwon Three Star Blue Feather 
任桂辛	Ren Guixin 
澳大利亚总督	Governor of Australia 
蔚山文殊足球竞技场	Ulsan Munju Football Stadium 
火影忍者疾风传	Naruto Shippuden 
奥林匹亚俱乐部	Olympia Club 
台视文化公司	Taiwan Television Culture Company 
数学物理	Mathematical Physics 
高知县民歌	Kochi Folk Songs 
黎柏坚	Li Baijian 
普鲁士邦总理	Prime Minister of Prussia 
阿拉伯半岛	Arabian Peninsula 
德国联邦议院议长	Speaker of the German Bundestag 
约翰·马歇尔_(肯塔基州)	John Marshall_ (Kentucky) 
亚兰字母	Arranian 
贾伟南	Jia Weinan 
克里米亚国家议会	Crimea National Assembly 
索菲_(汉诺威选侯夫人)	Sophie_ (Lady Elector of Hannover) 
兰芝利_(科罗拉多州)	Laneigli_ (Colorado) 
新川崎站	New Kawasaki Station 
德国超级杯	German Super Cup 
安纳波利斯海军学院	Annapolis Naval Academy 
科因布拉集团	Coimbra Group 
模糊伦理学	Fuzzy ethics 
罗斯西公爵	Duke of Rossi 
霹雳mit	Thunder mit 
旧扎戈拉贝罗足球俱乐部	Old Zagorabello Football Club 
英格兰西南	South West England 
琅邪诸葛氏世系图	Lineage Diagram of Zhuge Clan of Langye 
安住淳	Azumi Jun 
北京科技大学	University of Science and Technology Beijing 
莲花车队	Lotus team 
许财利	Xu Caili 
西园誉志	Nishi Park Yushi 
汉特-曼西斯克	Khanty-Mansiysk 
