桥本由香利	Hashimoto Yukari 
为爱而活	Live for love 
荷兰省份	Dutch provinces 
许美珍	Xu Meizhen 
agm-154联合战区外武器	Agm-154 Joint Out-of-Theater Weapons 
埃及第十八王朝	Eighteenth Dynasty of Egypt 
阿富汗卢比	Afghan Rupee 
马略卡王国	Kingdom of Mallorca 
国家宫_(蒙古国)	National Palace_(Mongolia) 
西方马克思主义	Western Marxism 
玛塔·路易斯公主	Princess Marta Louis 
与谢野馨	Xie Yexin 
fc检基	fc base 
智能电视	Smart TV 
任天堂3ds家族	Nintendo 3ds family 
巴滕堡王朝	Battenberg Dynasty 
d-pad	d-pad 
腓特烈·威廉_(布兰登堡)	Frederick William_ (Brandenburg) 
欧洲城市列表	List of European cities 
保顿艾尔宾足球俱乐部	Paulton Albin Football Club 
丹麦国防大臣	Danish Minister of Defense 
经济学学士	Bachelor of Economics 
红月_(神秘园专辑)	Red Moon_ (Secret Garden Album) 
革新运动	Innovation movement 
中天综合台	Zhongtian Comprehensive Station 
萨尔茨堡红牛足球俱乐部	Salzburg Red Bull Football Club 
台北市政府捷运工程局	Taipei City Government MRT Engineering Bureau 
大邱广域市	Daegu Metropolitan City 
西太平洋高级专员	High Commissioner for the Western Pacific 
中南财经政法大学	Zhongnan University of Economics and Law 
灰面鹫	Grey Faced Buzzard 
美国政府独立机构	United States Government Independent Agency 
民权西路站	Minquan West Road Station 
冈井千圣	Chisato Okai 
鸡冠刺桐	Cockscomb Erythrina 
保罗-亨利·夏尔·斯巴克	Paul-Henry Charles Spark 
深渊传奇	Legend of the Abyss 
连香树	Lianxiangshu 
沙巴拉拿	Sabalana 
王伟仁	Wang Weiren 
浪漫民族主义	Romantic nationalism 
第47届日本众议院议员总选举	The 47th General Election of the Japanese House of Representatives 
顿涅茨克国立科技大学	Donetsk State University of Technology 
熔点测定管	Melting point measuring tube 
玛丽公主_(告罗士打及爱丁堡公爵夫人)	Princess Mary_ (Gloucester and Duchess of Edinburgh) 
大分县旗	Flag of Oita Prefecture 
榊翔太	Shota Sakaki 
tbd唱片	tbd record 
后藤凉	Goto Ryo 
西班牙的玛丽亚·特里萨	Maria Theresa of Spain 
黄碧仁	Huang Biren 
胜利投手	Winning pitcher 
李小鹏_(政治人物)	Li Xiaopeng_(Politician) 
东西布朗_(英国国会选区)	East-West Brown_(British Parliamentary District) 
中文数字	Chinese numbers 
辰野町	Tatsuno Town 
王唯农	Wang Weinong 
教宗西尔维斯特一世	Pope Sylvester I 
梁启政	Liang Qizheng 
谢尔比维尔_(肯塔基州)	Shelbyville_ (Kentucky) 
天平宝字	Tianping Baozi 
古埃及	Ancient Egypt 
星球大战系列小说列表	List of Star Wars Novels 
三菱电机	Mitsubishi Electric 
藏心术	Hidden mind 
汉普郡学院	Hampshire College 
赵柯	Zhao Ke 
福井未菜	Fukui Mina 
公主嫁到	Princess married 
亚历山德拉王后	Queen Alexandra 
生活大爆炸_(第八季)	The Big Bang Theory_ (Season 8) 
安川有	Yaskawa 
孝肃皇后	Empress Xiaosu 
前3世纪	3rd century BC 
法兰西的伊莎贝拉	Isabella of France 
埃及总统列表	List of Presidents of Egypt 
交易成本	transaction cost 
封常清	Feng Changqing 
波兰议会	Polish Parliament 
雷斯威克条约	Treaty of Reswick 
2014年度yahoo!搜寻人气大奖得奖名单	2014 Yahoo! Search Popularity Award Winner List 
原始罗马尼亚语	Original Romanian 
银楼金粉	Silver House Gold Powder 
雷丁修道院	Reading Abbey 
美好的一天	good day 
玩具总动员4	Toy Story 4 
麦施文·韦伯·耶迪拿	Meschven Weber Yedina 
华沙圣约翰大教堂	St. John's Cathedral in Warsaw 
太田制作	Ota production 
傅尔曼大学	Fuhrman University 
球面反照率	Spherical albedo 
陈展安	Chen Zhanan 
克莱因-戈尔登方程	Klein-Golden equation 
陈俊明	Chen Junming 
黄志华(助理编导)	Huang Zhihua (Assistant Choreographer) 
森进一	Mori Shinichi 
细胞分裂系列	Cell division series 
平安里_(冈山区)	Pingan Lane_(Gangshan District) 
海军十字勋章	Navy Cross 
巴黎第十大学	Paris Tenth University 
薛其坤	Xue Qikun 
约旦第纳尔	Jordanian Dinar 
自我中心主义	Egocentric 
伊朗科技大学	Iran University of Science and Technology 
美国民主党总统候选人列表	List of Democratic Presidential Candidates 
五和里	Wuheli 
费拉拿球场	Ferrana Stadium 
斯洛伐克国家银行	National Bank of Slovakia 
李茂_(足球运动员)	Li Mao_ (football player) 
土耳其城市列表	List of cities in Turkey 
美人心计	Beauty scheming 
郑传义	Zheng Chuanyi 
玟贵妃	Concubine 
巴拉圭瓜拉尼	Paraguayan Guarani 
问题资产处理计划	Problem asset treatment plan 
里斯本竞技b	Sporting Lisbon b 
荷兰行政区划	Dutch administrative divisions 
吕西安·巴伯	Lucien Barber 
今井绘理子	Eriko Imai 
小野寺裕司	Yuji Onodera 
辛辛那提学院	Cincinnati College 
宇宙传奇	Universe legend 
图皮-瓜拉尼语支i	Tupi-Guarani branch i 
张简君伟	Zhang Jianjunwei 
葡属帝汶埃斯库多	Portuguese Timor Escudo 
1820年痛苦和刑罚草案	Draft of Pain and Penalty of 1820 
游戏机历史_(第六世代)	Game console history_ (sixth generation) 
水原大学	University of Suwon 
迪亚高施华	Diago Silva 
三重冕	Triple crown 
荷兰加勒比区	Dutch Caribbean 
西川优大	Nishikawa Yuda 
瑞士联邦院	Swiss Federal Council 
奥地利哈布斯堡王朝	Habsburgs of Austria 
萩奈穂美	Naomi Hagi 
德川家齐	Tokugawa Ieki 
冰岛财政部长	Minister of Finance of Iceland 
塔尔图大学	University of Tartu 
安顿韦迪	Anton Vidi 
占语字母	Cham 
澳洲气象局	Australian Bureau of Meteorology 
hangedup	hangedup 
分析心理学	Analytical psychology 
陆军大臣	Secretary of the Army 
doppelgangland	double gangland 
博阿尔内家族	Boarnet family 
陈-博特定理	Chen-Bo theorem 
巴斯克区徽	Basque Country Emblem 
婆媳谁怕谁	Who is afraid of mother-in-law? 
南梦宫万代游戏	Namco Bandai Games 
上田雅美	Masami Ueda 
萨德体育会	THAAD Sports Club 
社会活动家	Social activist 
涉谷飞翔	Shibuya Flying 
国家检察官学院	National Prosecutors College 
李相仑	Lee Sang Lun 
开尔文方程式	Kelvin equation 
副省会	Vice provincial capital 
比拉瓦尔·布托·扎尔达里	Vilavar Bhutto Zardari 
人民议会_(卢甘斯克人民共和国)	People's Assembly_ (Luhansk People's Republic) 
威尔斯国民议会	National Assembly of Wales 
荣信达影视	Rongxinda Television 
沙加系列	Shaka series 
爱尔兰下议院主席	Chairman of the Irish House of Commons 
潘宏昱	Pan Hongyu 
阿些斯奥体育会	Althus Olympic Games 
堀内信子	Nobuko Horiuchi 
美国陆军航空队	U.S. Army Air Force 
印度地区列表	India region list 
奇异博士	Doctor Strange 
梁健邦	Liang Jianbang 
赛扬汽车	Celeron 
chinsali	is not left 
农村经济学	Rural Economics 
鲁冷当	Lulendang 
category:法国王后	category:Queen of France 
lalchhuan_mawia	lalchhuan_ says 
杨柳青年画	Willow Youth Painting 
上海戏剧学院	Shanghai Theater Academy 
大埔运动场	Tai Po Sports Ground 
file:ou-logo-improved.png	file: ou-logo-improved.png 
万灵学院	Wan Ling College 
大谷光胜妻	Mitsukazu Otani 
识法代言人	Spokesperson 
笨蛋，测验，召唤兽	Idiot, quiz, summoned beast 
教宗维理	Pope Veri 
沙乌地阿拉伯行政区划	Administrative divisions of Saudi Arabia 
陆柏熹	Lu Baixi 
泰山区_(泰安市)	Taishan District_(Taian City) 
甲虫王者	Beetle King 
杉本有美	Yumi Sugimoto 
大西洋沿岸联盟最佳运动员	Best Athlete of the Atlantic Coast League 
科隆火车总站	Cologne Main Station 
鞑靼斯坦共和国国徽	National Emblem of the Republic of Tatarstan 
尼亚美	Niamey 
织田信雄	Oda Nobuo 
奥尔嘉·康斯坦丁诺芙娜_(希腊王后)	Olga Konstantinovna (Queen of Greece) 
丰田皇冠马杰斯塔	Toyota Crown Majesta 
英国统一	United Kingdom 
日本20岁以下国家足球队	Japan Under-20 National Football Team 
杨敬农	Yang Jingnong 
劳迪丝二世	Laudice II 
萨尔瓦多立法议会	Legislative Assembly of El Salvador 
突尼斯21岁以下国家足球队	Tunisia Under-21 National Football Team 
哥德堡大学	University of Gothenburg 
伊集院五郎	Ijuin Goro 
克罗地亚足球总会	Croatian Football Association 
安哥拉独立日	Angola Independence Day 
斯特鲁加茨基兄弟	The Strugatsky Brothers 
安迪·麦克唐纳_(政治人物)	Andy MacDonald_ (political figure) 
萩原佐代子	Sayoko Hagiwara 
许特根森林战役	Battle of Hütgen Forest 
赖明辉	Lai Minghui 
银翼杀手	Blade Runner 
2014年万千星辉颁奖典礼	2014 Thousand Thousand Stars Awards Ceremony 
东格拉斯哥_(英国国会选区)	East Glasgow_ (British Parliamentary Constituency) 
求爱365	Courtship 365 
北爱尔兰大臣	Minister of Northern Ireland 
utc+11	utc+11 
柏林联盟足球俱乐部	Berlin Union Football Club 
北京爱情故事_(2012年电视剧)	Beijing Love Story_ (2012 TV series) 
罗马尼亚王后列表	List of Queens of Romania 
涡轮螺旋桨发动机	Turboprop engine 
白象勋章	White Elephant Medal 
民主自由党	Democratic Liberal Party 
登录建筑	Login building 
庆愼公主	Princess Qingming 
路易吉王子_(两西西里)	Prince Luigi_ (Two Sicily) 
京广高速铁路	Beijing-Guangzhou High-speed Railway 
卡尔十一世	Karl XI 
施一公	Shi Yigong 
马来亚大学	University of Malaya 
国际城市博览会杯	International City Expo Cup 
约克的玛格丽特	Margaret of York 
拉达克山脉	Ladakh Mountains 
仓持明日香	Kuramochi Asuka 
我阿妈系黑玫瑰	My grandma is a black rose 
约尼域治	Johnny 
孝定太后	Queen Mother Xiaoding 
土广东话	Cantonese 
凉宫春日的忧郁	The Melancholy of Haruhi Suzumiya 
h是都m	h is all m 
肯塔基州国会议员	Kentucky Member of Congress 
马耳他大学	University of Malta 
莲花车队_(1954年)	Lotus Racing Team_ (1954) 
福田康夫内阁	Cabinet of Yasuo Fukuda 
太阳与你所描绘的story	The sun and your story 
黄升恺	Huang Shengkai 
魔域幻境系列	Magic Domain Fantasyland Series 
中正纪念堂站	Chiang Kai-shek Memorial Hall Station 
水岛精二	Seiji Mizushima 
宫下隼一	Miyashita Hayato 
皇家学会院士	Fellow of the Royal Society 
爱贝克思集团	ABEX Group 
阮氏定	Nguyen Thi Ding 
南关东	South Kanto 
墨西哥参议院	Mexican Senate 
巴哈伊信仰	Bahá'í Faith 
青衣东北公园	Tsing Yi Northeast Park 
培材大学	Peicai University 
ipade	meeting 
斐济元	Fijian Dollar 
塞米诺尔战争	Seminole War 
格域机场	Gatwick Airport 
美国第一夫人列表	List of first ladies of the United States 
竹敷要港部	Takeshiki Main Port 
清迈大学	Chiang Mai University 
亚历山大·亚历山德罗维奇大公	Grand Duke Alexander Alexandrovich 
巴西20岁以下国家足球队	Brazil Under-20 National Football Team 
唐桥侄子	Tang Qiao nephew 
今井智基	Imai Tomoki 
梁田清之	Liang Tianqingzhi 
朱家彤	Zhu Jiatong 
刘芷韵	Liu Zhiyun 
自然神论	Deism 
联合国宪章	United Nations Charter 
菲律宾副总统	Vice President of the Philippines 
普威尔国际	Prowell International 
李锦斌	Li Jinbin 
天一广场	Tianyi Square 
汤曜明	Tang Yaoming 
成城大学	Seijo University 
法国国家教育部	French National Ministry of Education 
亨利·佩蒂-菲茨莫里斯，第五代兰斯顿侯	Henry Petty-Fitzmorris, fifth generation Langston Hou 
国立台湾师范大学	National Taiwan Normal University 
汤玛斯·布鲁斯，第七代额尔金伯爵	Thomas Bruce, the seventh Earl of Erkin 
渡边绅	Senator Watanabe 
大希腊	Great Greece 
锦绣缘华丽冒险	Fairview Gorgeous Adventure 
森永太一郎	Taichiro Morinaga 
星无限娱乐	Star Unlimited Entertainment 
闪电十一人go	Inazuma Eleven go 
perica_marošević	perica marošević 
金钱崛起	Money rise 
法兰克福公墓	Frankfurt cemetery 
京师大学堂建筑遗存	Remains of the Capital University Hall 
自由职业运动员足球俱乐部	Freelance football club 
向罗马进军	March to Rome 
冷暖人间	Warm and cold world 
第60届奥斯卡金像奖	The 60th Academy Awards 
南斯拉夫人民军	People's Army of Yugoslavia 
扎达尔足球俱乐部	Zadar Football Club 
益安大君	Prince Ik'an 
西亚特altea	Seat altea 
美国国道	American National Highway 
simigon	simigon 
诺曼征服英格兰	Norman conquered England 
潘特雷蒙·波诺马连科	Pantremon Ponomarenko 
商业、创新和技能大臣	Minister of commerce, innovation and skills 
大日本帝国宪法	Constitution of the Empire of Japan 
英格兰皇家外科医学院	Royal College of Surgeons of England 
量子电动力学	Quantum electrodynamics 
布伦塔诺学派	Brentano School 
中华人民共和国境内地区邮政编码列表	List of Postal Codes in the People's Republic of China 
有乐町站	Yurakucho Station 
涅俄普托勒摩斯二世	Neoptolemos II 
布里亚特共和国国徽	National Emblem of the Republic of Buryatia 
维利拿	Velina 
增田顺一	Masuda Junichi 
波兰摇滚	Polish rock 
武里南联足球俱乐部	Buriram United Football Club 
牙买加银行	Bank of jamaica 
江户川乱步	Edogawa Ranbu 
马嘉尔语支	Magal 
李真	Li Zhen 
山玉成	Shan Yucheng 
拉脱维亚足球总会	Latvia Football Association 
北京时间	Beijing time 
有色人种	People of color 
海南民系	Hainanese 
影片编辑软体	Video editing software 
东巴里托语支	East Barito language branch 
福克兰群岛历史	History of the Falkland Islands 
艾奥瓦州众议院	Iowa House of Representatives 
玛丽亚·亚历山大罗夫娜女大公	Grand Duke Maria Alexandrovna 
.gt	.gt 
惇慈皇太妃	Donci Huang Duo 
纯贞孝皇后	Queen Pure Jeongxiao 
和铜	And copper 
九龙社团联会	Kowloon Federation of Societies 
雷纳托-达尔阿拉球场	Renato d'Alala Stadium 
幸福不二家	Happy Family 
罗伯特·克鲁-米尔恩斯，第一代克鲁侯爵	Robert Crewe-Milnes, the first Marquis of Crewe 
哥伦比亚总统	President of Colombia 
菊儿汗	Juerhan 
基辅大公	Grand Duke of Kiev 
巴吞鲁日_(路易斯安那州)	Baton Rouge_ (Louisiana) 
克里门汀橙太空船	Clementine Orange Spaceship 
比利时16岁以下国家足球队	Belgium Under-16 National Football Team 
纳塔尔总督	Governor of Natal 
克来蒙研究大学	Cremon Research University 
史丹福桥球场	Stamford Bridge Stadium 
联合国大会主席	President of the United Nations General Assembly 
海军陆战队	Marines 
诺贝尔生理学或医学奖	Nobel Prize in Physiology or Medicine 
蝙蝠女孩	Bat girl 
南斯拉夫国家足球队	Yugoslavia National Football Team 
西北英格兰	North West England 
加拿大总督列表	List of Governors of Canada 
天主教智利的圣地牙哥总教区	Santiago Archdiocese of Catholic Chile 
贵阳市奥林匹克体育中心	Guiyang Olympic Sports Center 
澳大利亚家庭事务部	Australian Department of Family Affairs 
流行朋克音乐	Pop punk music 
beikhokhei_beingaichho	Bei k ho k hei _ beingai c ho 
安道尔总委员会	Andorra General Council 
中央企业	Central enterprise 
海滩音乐	Beach music 
赖比瑞亚元	Liberia Dollar 
永恒唱片	Eternal Records 
廖亦崟	Liao Yiying 
奥赫热河	Ohre 
孙一凡	Sun Yifan 
大韩民国宪法	Constitution of the Republic of Korea 
砍杀游戏	Hack and slash game 
吕四娘_(电视剧)	Lu Siniang_(TV series) 
符号学	Semiotics 
大众传媒	Mass media 
卡夫真高	Kraft really high 
曼哈顿计画	Manhattan Project 
冈本かの子	Kaneko Okamoto 
尖子攻略	Top Raiders 
校园大学	Campus university 
无线电视	Wireless TV 
新界民政署	New Territories Civil Affairs Department 
滑板庞克	Skateboard punk 
结构理论	Structural theory 
你必须爱我	You must love me 
金东真	Kim Dongjin 
布里斯托战役	Battle of Bristol 
屈出律	Bend law 
中国共产党第八届中央委员会	The Eighth Central Committee of the Communist Party of China 
孙爱军	Sun Aijun 
塞维尔(挪威王子)	Seville (Prince of Norway) 
司马干	Sima Gan 
较大的市	Larger city 
黎显宗	Li Xianzong 
梅富根城战役	Battle of Mafgen City 
政治安全局	Political Security Bureau 
陈芷菁	Chen Zhijing 
冲绳群岛	Okinawa Islands 
摄政公园	Regent's Park 
寒川町	Samukawa Town 
莱昂大教堂	Leon Cathedral 
2011年女子世界杯足球赛	Women's World Cup 2011 
普里斯特菲尔德球场	Priestfield Stadium 
城户裕次	Yuji Shiroki 
第二次伊普尔战役	Second Battle of Ypres 
创作共用	Creative Commons 
柳贵博	Liu Guibo 
施沛任	Shi Peiren 
卡塔尔埃米尔	Emir of Qatar 
灵魂音乐	Soul music 
英格兰足球联赛系统	English Football League System 
波斯尼亚和黑塞哥维那可兑换马克	Bosnia and Herzegovina convertible mark 
辛辛那提法学院	Cincinnati Law School 
阮文和	Nguyen Van Ho 
爱德华·卢埃林_(英国政治顾问)	Edward Llewellyn_ (British Political Advisor) 
加泰罗尼亚人	Catalan 
宋光宗	Song Guangzong 
你笑了	you laughed 
马来西亚联邦授勋及嘉奖制度	Malaysian Federation Honors and Awards System 
即时通讯	Instant messaging 
日本高速公路	Japanese highway 
有肥人终成眷属	Fat people finally get married 
区委书记	District Party Secretary 
哈伯序列	Hubble sequence 
阿萨巴斯卡－埃雅克语族	Athabasca-Eyak 
华纳兄弟唱片	Warner Bros. Records 
冼海超	Xian Haichao 
芬兰参议院	Senate of Finland 
章仁香	Zhang Renxiang 
第一国务秘书	First secretary of state 
朱巴	Juba 
穆斯林兄弟会	Muslim Brotherhood 
吹波糖流行	Pop sugar pop 
罗伯特学院	Robert College 
石丸博也	Hiroya Ishimaru 
高永文	Gao Yongwen 
希腊国家女子足球队	Greece National Women's Football Team 
乌利华球场	Ulihua Stadium 
喀麦隆足球协会	Cameroon Football Association 
西雅图海湾者足球会_(1994-2008)	Seattle Bayers Football Club_(1994-2008) 
阿尔发音乐	Alfa Music 
福安话罗马字	Fu'an Romaji 
陈泓宇	Chen Hongyu 
保加利亚联盟	Bulgarian Union 
国际民主党联盟	International Democratic League 
乔·克拉克_(澳大利亚政治家)	Joe Clark_ (Australian politician) 
亚历山大大帝的征战	The Battle of Alexander the Great 
堪萨斯大学	University of Kansas 
千里达和多巴哥君主	Monarch of Trinidad and Tobago 
塞万努斯·塞耶尔奖	Cervanus Thayer Award 
当子内亲王	Prince of the Son 
荣誉服务奖	Honorary Service Award 
最终幻想ix	Final Fantasy ix 
雪山飞狐	Snow Mountain Flying Fox 
和历	Heli 
西九新动力	West Kowloon New Power 
独鲁万市	Tacloban City 
埃尔切足球俱乐部	Elche Football Club 
绿区_(名古屋市)	Midori Ward_(Nagoya City) 
就业及退休保障大臣	Minister of employment and retirement protection 
毒药乐团	Poison Orchestra 
卡米拉_(康沃尔公爵夫人)	Camilla (Duchess of Cornwall) 
月满抱佳人	Full moon hug a beautiful woman 
百田夏菜子	Momota Kanako 
洛泰尔_(西法兰克国王)	Lotaire (King of West Franconia) 
以色列足球协会	Israel Football Association 
碓井将大	Masahiro Usui 
托斯卡纳统治者列表	List of Tuscan rulers 
克拉约瓦	Craiova 
清太祖皇五女	Five Daughters of the Emperor Taizu of the Qing Dynasty 
维杰尔伯格球场	Vijelberg Stadium 
希腊20岁以下国家足球队	Greece Under-20 National Football Team 
杭州萧山国际机场	Hangzhou Xiaoshan International Airport 
东祥三	Toshozo 
清水县_(明尼苏达州)	Clearwater County_(Minnesota) 
百日皇朝	Hundred Days Dynasty 
古川雄辉	Furukawa Yuki 
神谷英树	Hideki Kamiya 
grombalia	grombalia 
有限承认国家列表	List of limited recognition countries 
进步党	Progressive Party 
意大利丙组联赛杯	Italy Group C League Cup 
轻型车	Light car 
德国三级方程式锦标赛	German Formula 3 Championship 
电子游戏史	History of video games 
大数假说	Large number hypothesis 
世间路	World road 
双璧传说	Legend of Shuangbi 
十日町市	Tokamachi City 
标致雪铁龙pf2平台	Peugeot Citroen pf2 platform 
环境光线感应器	Ambient light sensor 
在赌城醒来	Wake up in casino 
巴基斯坦外交部长	Minister of Foreign Affairs of Pakistan 
山梨县之歌	Song of Yamanashi Prefecture 
与谢野町	Yosano Town 
记得·我们有约	Remember·We have an appointment 
康沃利斯侯爵	Marquis of Cornwallis 
金贤_(足球运动员)	Kim Hyun_ (football player) 
前110年	110 years ago 
势力范围	Sphere of influence 
加冷河	Kallang River 
佳子内亲王	Princess Kako of Akishino 
埃斯拜的埃芒加德	Emangard of Espai 
大蒙古国	Greater Mongolia 
千岁市	Chitose City 
一条美贺子	Ichijo Mikako 
满－通古斯语族	Manchu-Tungusian 
nieuwegein	Nieuwegein 
西北叛乱	Northwest Rebellion 
圣保罗大学	Saint Paul University 
乍得-_利比亚冲突	Chad-Libya conflict 
涡轮轴引擎	Turboshaft engine 
阿特莱蒂·阿祖里球场	Atleti Azuri Stadium 
理发师合唱	Barber chorus 
美好年代	Belle Epoque 
薛顿贺尔大学法学院	Sherton Hall University School of Law 
黄晋发	Huang Jinfa 
gregoria	Gregorian 
青木良太	Ryota Aoki 
夏君璐	Xia Junlu 
f-15j战斗机	f-15j fighter 
菅谷梨沙子	Risako Sugaya 
少年四大名捕	Four famous young arrests 
皇家巴斯克语学院	Royal Basque School 
谢尼亚·亚历山德罗芙娜女大公	Grand Duke Xenia Alexandrovna 
田渕久美子	Kumiko Tabuchi 
柳田稔	Minoru Yanagida 
文字处理	Word processing 
皇家文艺学会	Royal Society of Arts 
春畑道哉	Michiya Haruhata 
牙买加总理	Prime Minister of Jamaica 
莫奇米林体育俱乐部	Mochi Milling Sports Club 
岱依语	Daiyi 
大卫·博伊尔，第七代格拉斯哥伯爵	David Boyle, 7th Earl of Glasgow 
阿尔巴尼亚甲组足球联赛	Albania First Division Football League 
沈阳体育学院体育场	Shenyang Sports University Stadium 
小米note顶配版	Mi Note top version 
有马新一	Arima Shinichi 
堪萨斯州立大学	Kansas State University 
西日本旅客铁道	West Japan Railway 
人和商业	People and business 
牛山镇_(东海县)	Niushan Town_(Donghai County) 
教宗玛策林	Pope Marcellin 
田树樟	Cinnamomum tiana 
桃园捷运	Taoyuan MRT 
威斯康星州州长	Governor of Wisconsin 
法兰克斯顿松树足球俱乐部	Frankston Pines Football Club 
北安普顿	Northampton 
平林良昭	Hirabayashi Ryoaki 
清水德川家	Shimizu Tokugawa House 
周乃翔	Zhou Naixiang 
法赫德·本·阿卜杜勒-阿齐兹·阿勒沙特	Fahd Bin Abdul-Aziz Al Shat 
殷美兰	Yin Meilan 
冼夫人	Mrs. Xian 
义大利天主教民主党秘书长	Secretary General of the Italian Catholic Democratic Party 
行署专员	Commissioner 
威尼斯足球俱乐部	Venice Football Club 
教会法	Canon law 
积水化学	Sekisui Chemical 
互补式金属氧化物半导体	Complementary metal oxide semiconductor 
伯明翰足球俱乐部	Birmingham Football Club 
我是歌手_(第二季)	I am a singer_ (season 2) 
竞速游戏	Racing game 
第比利斯国立大学	Tbilisi National University 
波斯王子：时之砂	Prince of Persia: Sands of Time 
门户乐团	Portal band 
戈尔甘	Gorgan 
奥罗莫分支	Oromo branch 
桌球天王	Snooker King 
陈刚_(中共贵阳市委书记)	Chen Gang_(Secretary of the Guiyang Municipal Committee of the Communist Party of China) 
十市皇女	Princess Tochi 
nazımiye	verse 
苏丹希沙姆汀阿南沙	Sultan Hishamuddin Anansha 
内阁府特命担当大臣（原子能损害赔偿支援机构担当）	Minister in charge of the Cabinet Office (in charge of the Atomic Energy Damage Compensation Support Organization) 
医师好辣	The doctor is so spicy 
共和国议会宫	Parliament Palace of the Republic 
阿拉伯国家联盟	League of Arab States 
阿曼足球协会	Oman Football Association 
都市方程式	Urban formula 
纪皇女	Emperor Ji 
菲律宾披索	Philippine Peso 
进阶音讯编码	Advanced audio coding 
民族保守主义	National conservatism 
清太祖皇七女	Seventh Daughter of the Emperor Taizu of the Qing Dynasty 
陕西渭南信达篮球俱乐部	Shaanxi Weinan Xinda Basketball Club 
牛津大学基督圣体学院	University of Oxford College of the Eucharist 
szigetvar	szigetvar 
得梅因河	Des Moines 
沙·贾汗三世	Shah Jahan III 
高卢雄鸡	Gallic rooster 
和硕端静公主	Princess He Shuo Duan Jing 
丹麦行政区划	Administrative divisions of Denmark 
秘鲁体育大学	Peru Sports University 
社会民主连线	Social Democracy Connection 
社东里	Shedongli 
沈阳飞机工业集团	Shenyang Aircraft Industry Group 
埃以消耗战争	Egypt-Israel War 
贞爱亲王妃利子女王	Princess of Love, Princess Lizi 
世界旅游组织	World Tourism Organization 
贾天子	Jia Tianzi 
传播媒体	media 
金门女	Golden Gate Girl 
冶天科技	Yetian Technology 
斯洛维尼亚摇滚	Slovenian Rock 
奥斯曼帝国的崛起	The rise of the Ottoman Empire 
李玉琴	Li Yuqin 
李东明	Li Dongming 
美国总统列表	List of Presidents of the United States 
林迈可	Lin Mike 
海顿天象馆	Haydn Planetarium 
列特体育会	Leit Sports Club 
.eu	.I 
乔治城大学法律中心	Georgetown University Law Center 
